# EPIC-KITCHENS object mask coverage
# 1059 categories · splits: train, val
# coverage = nonzero pixels / total pixels
#
#  median     mean      p10      p90      n  name
   0.0386   0.0494   0.0164   0.0662     36  pasta
   0.0386   0.0468   0.0295   0.0738      7  rice jar
   0.0385   0.0340   0.0102   0.0485     21  mushroom piece
   0.0383   0.0418   0.0168   0.0660     17  dustpan
   0.0381   0.0350   0.0177   0.0484      9  cheese packaging
   0.0380   0.0422   0.0288   0.0550     12  yoghurt cup
   0.0376   0.0378   0.0341   0.0417      4  chicken stock package
   0.0374   0.0374   0.0325   0.0424      2  transparent bag
   0.0374   0.0382   0.0139   0.0649     39  lunch box
   0.0374   0.0347   0.0083   0.0576     22  leek
   0.0373   0.0658   0.0311   0.1126     14  toaster
   0.0371   0.0457   0.0172   0.0763     15  washing liquid
   0.0371   0.0371   0.0371   0.0371      1  mincemeat
   0.0370   0.0371   0.0122   0.0584     11  pitta bread package
   0.0367   0.0312   0.0093   0.0490     10  kitchen paper
   0.0367   0.0658   0.0111   0.1680     13  baking paper piece
   0.0367   0.0514   0.0080   0.1110     45  pie
   0.0366   0.0495   0.0216   0.0718     23  water boiler
   0.0363   0.0363   0.0328   0.0398      2  mixer bowl
   0.0363   0.0498   0.0167   0.1189     13  salad bag
   0.0362   0.0482   0.0125   0.0758     58  saucepan lid
   0.0360   0.0607   0.0122   0.1491    136  towel
   0.0359   0.0354   0.0187   0.0516      7  liquid bottle
   0.0358   0.0460   0.0017   0.1121     30  kitchen roll
   0.0357   0.0335   0.0207   0.0426      8  meat pack
   0.0356   0.0345   0.0173   0.0487     26  lasagne sheet
   0.0355   0.0386   0.0277   0.0524      8  squash/squash drink/juice concentrate
   0.0355   0.0359   0.0148   0.0516     18  carrot package
   0.0355   0.0325   0.0154   0.0466      6  red pepper paste package
   0.0354   0.0411   0.0266   0.0601      4  cooker bowl
   0.0354   0.0354   0.0354   0.0354      1  cooked rice
   0.0353   0.0353   0.0353   0.0353      1  washing foam
   0.0352   0.0424   0.0092   0.0792     94  tupperware
   0.0352   0.0352   0.0352   0.0352      1  kitchen
   0.0351   0.0411   0.0323   0.0532      5  pepper shaker
   0.0351   0.0455   0.0309   0.0683      4  carrot peeling
   0.0348   0.0398   0.0151   0.0702    143  frying pan
   0.0347   0.0396   0.0060   0.0684     46  rag
   0.0346   0.0347   0.0210   0.0473     33  courgette pieces
   0.0346   0.0346   0.0346   0.0346      1  saag paneer
   0.0345   0.0325   0.0154   0.0457     14  coffee maker
   0.0345   0.0328   0.0176   0.0448     10  chicken breast
   0.0344   0.0371   0.0224   0.0543     18  carrot box
   0.0343   0.0395   0.0247   0.0421     45  ingredient
   0.0343   0.0343   0.0290   0.0395      2  napkin holder
   0.0339   0.0339   0.0298   0.0380      2  chorizo bag
   0.0338   0.0430   0.0156   0.0529     11  sweet corn
   0.0336   0.0395   0.0098   0.0848     89  plastic bag
   0.0336   0.0372   0.0176   0.0626     48  meat packaging
   0.0335   0.0340   0.0330   0.0353      3  butter tupperware
   0.0334   0.0334   0.0334   0.0334      1  stirrer box
   0.0334   0.0435   0.0086   0.0915   1103  bowl
   0.0333   0.0332   0.0228   0.0425      5  salad
   0.0332   0.0346   0.0056   0.0505     11  lettuce package
   0.0330   0.0330   0.0330   0.0330      1  sweet corn can
   0.0328   0.0311   0.0100   0.0539     11  plastic package
   0.0328   0.0328   0.0308   0.0348      2  spinach leaf
   0.0327   0.0359   0.0155   0.0704     24  carrot bag
   0.0327   0.0327   0.0327   0.0327      1  jam
   0.0327   0.0408   0.0181   0.0701      4  food bin bag
   0.0325   0.0446   0.0139   0.0862     30  flour package
   0.0325   0.0437   0.0085   0.1044     51  flour
   0.0325   0.0483   0.0211   0.0832      9  spinach
   0.0323   0.0354   0.0276   0.0465      9  chicken breast package
   0.0323   0.0436   0.0101   0.0841    133  tea towel
   0.0323   0.0293   0.0099   0.0439    111  chicken thigh
   0.0322   0.0322   0.0299   0.0344      2  red pepper paste
   0.0321   0.0316   0.0109   0.0469     16  food container
   0.0321   0.0390   0.0187   0.0656    365  right glove
   0.0319   0.0319   0.0257   0.0381      2  package salami
   0.0315   0.0340   0.0124   0.0682     52  sweet potato
   0.0315   0.0340   0.0092   0.0627     58  scale
   0.0314   0.0394   0.0163   0.0624     14  bread packaging
   0.0314   0.0415   0.0187   0.0744      6  peach box
   0.0314   0.0292   0.0198   0.0365      6  tofu box
   0.0313   0.0459   0.0171   0.0891      6  spinach bag
   0.0312   0.0421   0.0115   0.0932     61  flour bag
   0.0312   0.0312   0.0312   0.0312      1  asagne sheet
   0.0312   0.0462   0.0245   0.0798      4  bread wrap
   0.0310   0.0283   0.0135   0.0427      7  packing bag
   0.0309   0.0318   0.0071   0.0572     13  sugar packet
   0.0309   0.0309   0.0208   0.0409      2  liquid soap
   0.0309   0.0288   0.0209   0.0347      6  peach slice
   0.0308   0.0381   0.0298   0.0522      4  chicken box
   0.0308   0.0309   0.0185   0.0435      6  hamburger bun
   0.0307   0.0436   0.0092   0.0851    101  cereal box
   0.0305   0.0374   0.0089   0.0778    425  dough
   0.0304   0.0322   0.0268   0.0390      8  aubergine piece
   0.0303   0.0365   0.0129   0.0617     39  glass bowl
   0.0302   0.0302   0.0302   0.0302      1  parmesan cheese package
   0.0302   0.0336   0.0200   0.0507      6  washing liquid bottle
   0.0301   0.0253   0.0108   0.0361      4  steel mesh
   0.0300   0.0409   0.0079   0.0818     68  packaging
   0.0299   0.0375   0.0229   0.0571      5  leek package
   0.0297   0.0635   0.0093   0.2153    106  foil
   0.0297   0.0565   0.0114   0.1195     45  rice bag
   0.0295   0.0320   0.0162   0.0453     38  pot lid
   0.0294   0.0325   0.0276   0.0399      4  coffee grinder
   0.0294   0.0265   0.0153   0.0347      6  vinegar
   0.0291   0.0291   0.0239   0.0343      2  celery package
   0.0290   0.0324   0.0166   0.0516      6  mayonnaise bottle
   0.0290   0.0300   0.0076   0.0551     40  sauce bottle
   0.0290   0.0292   0.0175   0.0444      9  soy milk carton
   0.0287   0.0308   0.0035   0.0556      8  pestle
   0.0287   0.0287   0.0283   0.0290      2  whey
   0.0285   0.0321   0.0206   0.0487     12  slicer
   0.0285   0.0328   0.0098   0.0646     71  mixture
   0.0281   0.0421   0.0171   0.0938      8  butter packaging
   0.0281   0.0407   0.0107   0.0834      6  basket
   0.0280   0.0328   0.0049   0.0645      4  white pot
   0.0279   0.0304   0.0065   0.0532     46  coffee bag
   0.0279   0.0385   0.0120   0.0658     19  aluminium foil
   0.0279   0.0325   0.0117   0.0572      4  turmeric powder bag
   0.0279   0.0438   0.0150   0.0789     10  onion bag
   0.0278   0.0277   0.0197   0.0346      5  pot holder
   0.0277   0.0323   0.0103   0.0629     22  mushroom package
   0.0277   0.0278   0.0215   0.0343      3  springform tin bottom
   0.0275   0.0446   0.0166   0.0943     24  bread package
   0.0275   0.0287   0.0133   0.0446      8  pistachio bag
   0.0275   0.0326   0.0191   0.0482      3  hand held hoover
   0.0275   0.0259   0.0091   0.0376      9  dishwashing liquid
   0.0275   0.0279   0.0246   0.0333     12  sous vide machine
   0.0273   0.0273   0.0273   0.0273      1  lemon curd
   0.0273   0.0227   0.0088   0.0322      8  cafetiere
   0.0272   0.0351   0.0154   0.0710     14  rice package
   0.0271   0.0320   0.0058   0.0409     14  coconut bag
   0.0270   0.0654   0.0066   0.1654     31  cling film
   0.0270   0.0270   0.0270   0.0270      1  biscuit powder
   0.0270   0.0345   0.0150   0.0590     20  sausage box
   0.0269   0.0366   0.0142   0.0724     22  bread bag
   0.0269   0.0263   0.0239   0.0280     10  broccoli packet
   0.0269   0.0301   0.0151   0.0491     26  egg box
   0.0268   0.0260   0.0077   0.0436      4  bin lid
   0.0268   0.0283   0.0252   0.0325      4  mixer lid
   0.0267   0.0267   0.0149   0.0385      2  tomato can
   0.0266   0.0354   0.0082   0.0656     72  package
   0.0266   0.0475   0.0055   0.1244     33  tea towel/dish towel
   0.0265   0.0243   0.0127   0.0337      6  vinegar bottle
   0.0264   0.0400   0.0146   0.0708     27  pasta package
   0.0264   0.0206   0.0088   0.0277      4  pepperoni
   0.0263   0.0269   0.0201   0.0343      6  potato package
   0.0262   0.0230   0.0139   0.0301      5  paper bag
   0.0261   0.0370   0.0060   0.0793     20  meat package
   0.0260   0.0255   0.0180   0.0327      3  ice cube bag
   0.0260   0.0260   0.0252   0.0268      2  mittens
   0.0259   0.0261   0.0171   0.0381     11  carrot peel
   0.0258   0.0258   0.0258   0.0258      1  hanger
   0.0257   0.0223   0.0174   0.0260      3  tupperware food
   0.0256   0.0242   0.0105   0.0393     18  green onion
   0.0255   0.0279   0.0114   0.0420     17  onion piece
   0.0255   0.0412   0.0132   0.0758      5  bacon tray
   0.0255   0.0236   0.0160   0.0318     10  dough ball
   0.0252   0.0317   0.0081   0.0580      3  filter box
   0.0251   0.0226   0.0163   0.0270      4  garbage bag
   0.0251   0.0262   0.0033   0.0524      7  pepper package
   0.0251   0.0251   0.0189   0.0313      2  turmeric powder package
   0.0251   0.0244   0.0169   0.0314      4  sugar
   0.0251   0.0251   0.0139   0.0362      2  bag roll
   0.0250   0.0258   0.0122   0.0401      4  chili powder package
   0.0249   0.0358   0.0104   0.0756    153  glove
   0.0248   0.0271   0.0084   0.0481      6  butter container
   0.0248   0.0255   0.0154   0.0363     13  fish piece
   0.0246   0.1029   0.0079   0.3405     36  yoghurt
   0.0246   0.0249   0.0217   0.0284      6  olive package
   0.0246   0.0246   0.0220   0.0273      2  stretch foil
   0.0246   0.0353   0.0080   0.0683     22  detergent
   0.0245   0.0448   0.0044   0.1310    130  paper
   0.0244   0.0281   0.0041   0.0547     25  salt box
   0.0244   0.0300   0.0218   0.0427      4  dish cloth
   0.0243   0.0184   0.0040   0.0270    146  pepper bit/piece
   0.0241   0.0311   0.0077   0.0616    240  container
   0.0240   0.0240   0.0240   0.0240      1  coffee machine drawer
   0.0239   0.0232   0.0132   0.0333      7  syrup bottle
   0.0239   0.0239   0.0239   0.0239      1  butter lid
   0.0239   0.0299   0.0149   0.0490     24  tortilla
   0.0238   0.0295   0.0098   0.0459     15  coconut milk bottle
   0.0236   0.0256   0.0033   0.0498     15  ham
   0.0235   0.0265   0.0129   0.0475     12  hand blender
   0.0234   0.0234   0.0234   0.0234      1  filter paper
   0.0234   0.0234   0.0234   0.0234      1  paper towel roll
   0.0233   0.0340   0.0059   0.0616     62  packet
   0.0232   0.0254   0.0112   0.0413      4  coconut milk
   0.0232   0.0228   0.0118   0.0323      7  top sticker
   0.0230   0.0312   0.0024   0.0703   1003  lid
   0.0230   0.0298   0.0098   0.0595     57  coffee pot
   0.0230   0.0230   0.0188   0.0272      2  passata
   0.0229   0.0287   0.0045   0.0567     48  cereal bag
   0.0229   0.0221   0.0089   0.0319     10  yeast bag
   0.0228   0.0403   0.0065   0.0790     11  flour container
   0.0227   0.0225   0.0074   0.0337     12  cling film roll
   0.0227   0.0362   0.0145   0.0715      6  fridge drawer
   0.0227   0.0218   0.0037   0.0358     14  tahini jar
   0.0227   0.0241   0.0142   0.0337      5  carrot choppings
   0.0226   0.0246   0.0097   0.0419    129  broccoli
   0.0226   0.0226   0.0226   0.0226      1  bacon wrapper
   0.0225   0.0361   0.0059   0.0858     80  kitchen towel
   0.0222   0.0531   0.0151   0.1035      3  chair
   0.0221   0.0221   0.0221   0.0221      1  pizza pan
   0.0220   0.0177   0.0083   0.0237      4  egg ramekin
   0.0220   0.0220   0.0220   0.0220      1  red chilli package
   0.0218   0.0198   0.0149   0.0232      8  wine bottle
   0.0218   0.0198   0.0133   0.0246      4  egg carton
   0.0218   0.0275   0.0094   0.0583     11  film
   0.0218   0.0218   0.0141   0.0295      2  cling film package
   0.0218   0.0219   0.0116   0.0313      7  cheese bowl
   0.0217   0.0305   0.0081   0.0467     28  water bottle
   0.0217   0.0259   0.0140   0.0455    291  meat
   0.0216   0.0216   0.0216   0.0216      1  foil roll
   0.0216   0.0225   0.0180   0.0292      8  cleaning liquid
   0.0215   0.0328   0.0043   0.0750    511  cloth
   0.0215   0.0174   0.0018   0.0289      6  basil
   0.0215   0.0279   0.0171   0.0412      3  cover
   0.0215   0.0168   0.0054   0.0235      6  spaghetti tupperware
   0.0214   0.0214   0.0214   0.0214      1  liquid
   0.0214   0.0234   0.0123   0.0362      8  washing cloth
   0.0213   0.0261   0.0112   0.0454     22  weight tray
   0.0213   0.0210   0.0190   0.0228      3  washing powder package
   0.0213   0.0197   0.0067   0.0361     24  cheese packet
   0.0212   0.0196   0.0086   0.0307     27  broccoli piece
   0.0212   0.0246   0.0053   0.0488    150  milk bottle
   0.0210   0.0201   0.0186   0.0213      3  pot rest
   0.0209   0.0233   0.0193   0.0297      6  bacon package
   0.0208   0.0204   0.0059   0.0329     48  measuring cup
   0.0208   0.0242   0.0087   0.0401     21  pine nut bag
   0.0207   0.0177   0.0037   0.0292     15  oregano bag
   0.0207   0.0275   0.0050   0.0563     27  biscuit packaging
   0.0207   0.0329   0.0193   0.0563      4  crisp
   0.0206   0.0340   0.0166   0.0620      9  stock packaging
   0.0204   0.0217   0.0036   0.0391     11  plastic wrap
   0.0203   0.0296   0.0099   0.0638     22  parsley package
   0.0202   0.0195   0.0111   0.0267     11  chopped tomato box
   0.0202   0.0160   0.0022   0.0281      5  cream
   0.0199   0.0230   0.0005   0.0432     13  rubbish
   0.0199   0.0199   0.0088   0.0310      2  colendar
   0.0199   0.0316   0.0117   0.0609      9  green bean package
   0.0198   0.0198   0.0195   0.0201      2  pepper packet
   0.0195   0.0195   0.0061   0.0329      2  salted bean curd jar
   0.0195   0.0199   0.0031   0.0374     64  tofu piece
   0.0194   0.0238   0.0064   0.0443     29  salami
   0.0194   0.0189   0.0087   0.0324      9  pasta plate
   0.0194   0.0259   0.0027   0.0537     37  plastic
   0.0194   0.0228   0.0070   0.0400     16  canned almond package
   0.0193   0.0268   0.0037   0.0581      5  curry leaf
   0.0193   0.0281   0.0086   0.0557     10  creme fraiche
   0.0192   0.0192   0.0192   0.0192      1  olive box
   0.0191   0.0191   0.0183   0.0199      2  egg bowl
   0.0191   0.0191   0.0145   0.0237      2  leaf skin
   0.0190   0.0290   0.0164   0.0468      5  fabric conditioner bottle
   0.0189   0.0287   0.0101   0.0558     23  rice container
   0.0188   0.0225   0.0078   0.0365    256  oil bottle
   0.0187   0.0175   0.0067   0.0271     12  salmon
   0.0187   0.0187   0.0176   0.0198      2  chinese vinegar bottle
   0.0187   0.0160   0.0118   0.0191      3  sliced garlic
   0.0187   0.0282   0.0130   0.0332     10  cherry bag
   0.0187   0.0176   0.0064   0.0234     33  bell pepper
   0.0186   0.0186   0.0156   0.0216      2  cartoon trash
   0.0186   0.0194   0.0088   0.0324      8  coffee box
   0.0185   0.0204   0.0039   0.0391     10  coffee tin
   0.0185   0.0172   0.0067   0.0245     52  soy milk
   0.0184   0.0157   0.0084   0.0203      6  minced meat
   0.0183   0.0242   0.0091   0.0439      5  raisin
   0.0183   0.0163   0.0031   0.0257      7  tea pot
   0.0181   0.0181   0.0122   0.0241      2  sugar tupperware
   0.0181   0.0171   0.0128   0.0205      6  beef
   0.0181   0.0172   0.0147   0.0189      4  soil bottle
   0.0181   0.0297   0.0155   0.0533      4  cheese grater
   0.0181   0.0181   0.0126   0.0264     10  broom
   0.0180   0.0180   0.0180   0.0180      1  wooden chopping board
   0.0180   0.0230   0.0079   0.0467     82  oil
